dataEfetiva,categoria,valorEfetivo,descricao
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,2889.0,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,2984.91,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,3332.61,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,4558.0,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,6962.16,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,8585.0,TAXA DE MANUTENÇÃO 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,125.8,TAXA DE MANUTENÇÃO 
2025-07-14T00:00:00,1.1.2 Taxa de Manutenção,3258.5,TAXA DE MANUTENÇÃO 
2025-07-14T00:00:00,1.1.2 Taxa de Manutenção,5320.8,TAXA DE MANUTENÇÃO 
2025-07-15T00:00:00,1.1.2 Taxa de Manutenção,2226.25,TAXA DE MANUTENÇÃO 
2025-07-16T00:00:00,1.1.2 Taxa de Manutenção,3427.51,TAXA DE MANUTENÇÃO 
2025-07-22T00:00:00,1.1.2 Taxa de Manutenção,5953.1,TAXA DE MANUTENÇÃO 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,32.29,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,91.03,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,100.24,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,305.76,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,324.15,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,328.98,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,722.48,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,838.55,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,840.44,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,1225.23,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,1268.78,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,1560.38,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,2686.46,TAXA DE MANUTENÇÃO 3 SEMANA 07/2052 
2025-07-23T00:00:00,1.1.2 Taxa de Manutenção,422.41,TAXA DE MANUTENÇÃO 3° SEMANA 07/2025 
2025-07-23T00:00:00,1.1.2 Taxa de Manutenção,296.71,TAXA DE MANUTENÇÃO 3° SEMANA 07/2025 
2025-07-25T00:00:00,1.1.2 Taxa de Manutenção,1580.28,TAXA DE MANUTENÇÃO 3° SEMANA 07/2025 
2025-07-29T00:00:00,1.1.2 Taxa de Manutenção,330.0,TAXA DE MANUTENÇÃO 3º SEMANA 07/2025 
2025-07-30T00:00:00,1.1.2 Taxa de Manutenção,245.79,TAXA DE MANUTENÇÃO 4° SEMANA 07/2025 
